step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-913.2341250211,533.886440425426,28.0,35.71554283501792,-1020.0,0.0,0.09999999403953552,11.453402757644653
10000,-1013.6138840347528,230.55057126000347,81.6,98.94362030975014,-1020.0,0.0,0.09999999403953552,24.832061529159546
20000,-311.2533463850617,21.410616093620202,28.6,18.11739495622922,-1020.0,0.0,0.040142569690942764,209.33480596542358
30000,-974.2570088118315,879.055721558575,0.0,0.0,-1020.0,0.0,0.016941741108894348,393.601674079895
40000,-652.1434982076287,767.3688478881376,1.8,3.124099870362662,-1020.0,0.0,0.007046612445265055,577.204452753067
50000,-1604.2634773164987,736.7713944578016,34.4,60.842748129912735,-1020.0,0.0,0.003379589645192027,762.3778369426727
60000,-866.8260190755129,803.3196421811858,66.0,123.55889284062074,-1020.0,0.0,0.006476857699453831,945.3810799121857
70000,-140.38816148266196,488.7833009474529,168.8,333.1182372671902,-864.8,310.4,0.013877243734896183,1129.2978143692017
80000,-397.32023875191805,147.31654966168014,66.0,102.75602172135704,-1020.0,0.0,0.028098760172724724,1314.826027393341
90000,-360.22369882166385,31.1133452931033,0.8,1.6,-1020.0,0.0,0.02995566464960575,1501.498324394226
100000,-250.6541789665818,87.88302428361892,0.0,0.0,-1020.0,0.0,0.021288853138685226,1688.2072291374207
110000,-54.717001563310625,514.7078199013682,209.4,367.732837804839,-1020.0,0.0,0.017267758026719093,1874.2959561347961
120000,-13.661949104815722,242.58649882647333,161.6,278.14427910708497,-1020.0,0.0,0.016013439744710922,2059.9177255630493
130000,-217.1860990293324,68.23374347185154,0.6,1.2,-1020.0,0.0,0.014322848990559578,2246.4441385269165
140000,-241.8420945070684,215.63382779925797,77.2,154.39999999999998,-864.0,312.0,0.014892269857227802,2433.187338590622
150000,-298.62472394555806,598.142065191756,175.4,350.80000000000007,-1020.0,0.0,0.012709117494523525,2622.0043845176697
160000,-379.76918878406286,195.5961917354766,8.4,16.8,-1020.0,0.0,0.012982809916138649,2810.679503917694
170000,-374.8181517422199,278.2396803609604,65.4,83.322505963275,-1020.0,0.0,0.012259116396307945,2998.709398508072
180000,-227.8040287896991,61.96089682834213,1.4,2.8,-1020.0,0.0,0.011450713500380516,3186.3669939041138
190000,-209.05374176949263,185.40103429550214,75.8,105.16729529658923,-1020.0,0.0,0.010950303636491299,3373.6474165916443
200000,-293.268420638144,152.36293341783932,0.0,0.0,-863.0,314.0,0.010599848814308643,3561.8485820293427
210000,-394.7137035213411,179.41385164158942,25.0,35.53026878592393,-1020.0,0.0,0.00981135293841362,3747.449246406555
220000,-51.35067734718323,252.5980049717375,118.4,231.8323532210291,-943.6,152.79999999999998,0.009679953567683697,3935.577840089798
230000,-178.9602931164205,65.86878352651655,6.4,12.800000000000002,-871.6,204.72967542591377,0.008470450527966022,4122.399711847305
240000,-356.9130526974797,192.47620676887408,25.2,31.2755495555234,-859.2,321.6,0.008345083333551884,4309.303524255753
250000,-293.70347394794226,148.06640907251295,32.4,49.962385851758526,-1020.0,0.0,0.008810567669570446,4497.596071958542
260000,-761.2263355866074,407.1917729144252,2.8,3.919183588453085,-1020.0,0.0,0.009251521900296211,4685.974056959152
270000,-276.3815458804369,111.25929748669884,1.0,2.0,-871.6,296.8,0.009137227199971676,4872.732493400574
280000,-299.83054553344846,130.76303795348161,55.4,61.33710133353222,-1020.0,0.0,0.00806615874171257,5060.793704986572
290000,-390.03050737157463,170.83212391261188,13.2,26.399999999999995,-1020.0,0.0,0.006615404039621353,5250.940596103668
300000,-556.3055498689413,115.89122820247991,12.0,22.529980026622304,-1020.0,0.0,0.006700489670038223,5439.6563103199005
310000,-134.79839052855968,519.1446901800239,191.2,364.6666422912849,-941.0,158.0,0.006819290108978748,5629.247517347336
320000,-536.7638842508197,207.0516387780661,15.6,27.266096163550806,-1020.0,0.0,0.006493408232927322,5817.63262629509
330000,-397.76326480209826,375.8450099076068,36.8,54.69698346344157,-1020.0,0.0,0.0059300437569618225,6008.128294229507
340000,-227.28120992556214,563.3874268646886,147.0,294.0,-1020.0,0.0,0.00586694898083806,6198.070844650269
350000,-281.3841491289437,344.12078597049253,75.0,103.23565275620628,-1020.0,0.0,0.005899586249142885,6385.799436569214
360000,-165.53377626389266,111.47839689359424,23.8,47.6,-1020.0,0.0,0.005634475965052843,6574.358329772949
370000,-309.4540613695979,102.68461213536376,29.4,22.31232843071292,-898.2,243.6,0.0052880472503602505,6762.425449132919
380000,-368.47769748866557,232.88308762259842,1.0,2.0,-1020.0,0.0,0.005127502139657736,6953.554783582687
390000,-227.18428102806212,640.3349706031175,206.4,388.28319561886786,-859.8,320.40000000000003,0.005163107067346573,7142.707765817642
400000,-341.5961489021778,209.84528037248145,0.0,0.0,-1020.0,0.0,0.005115855485200882,7332.085645198822
410000,-176.5366982124746,364.6567451874378,116.6,149.98613269232595,-882.6,274.8,0.005365352611988783,7520.950777292252
420000,-453.8424582690001,839.3434252045585,170.6,341.2,-1020.0,0.0,0.0052283513359725475,7710.78194642067
430000,-296.9817256711423,268.9088354131005,60.8,81.15023105327549,-1020.0,0.0,0.005978936795145273,7901.320510625839
440000,-121.09919137880206,426.4261888452354,171.6,202.86606419014493,-1020.0,0.0,0.005307142157107592,8090.452359199524
450000,-360.081948466599,352.55646007261055,46.8,70.85026464311899,-1020.0,0.0,0.004629651550203562,8278.260310173035
460000,-467.0642494857311,300.67983300304996,3.8,7.6000000000000005,-1020.0,0.0,0.004539885092526674,8467.228646278381
470000,-429.27507205531003,438.03520739257107,60.2,73.7465931416496,-1020.0,0.0,0.003859518561512232,8656.635199785233
480000,-434.53275952264664,550.2415035658012,140.8,272.6891270292969,-1020.0,0.0,0.003931056708097458,8848.204512834549
490000,-377.8929215654731,199.46510327080404,6.2,12.400000000000002,-1020.0,0.0,0.0037667490541934967,9036.641009092331
500000,-443.7968620054424,282.0339472726734,5.8,11.6,-971.8,96.4,0.0035512412432581186,9224.941853046417
