step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-55.54591072127223,127.55480654523289,81.2,99.73845797885589,-1020.0,0.0,0.09999999403953552,13.423494338989258
10000,-113.58233708664775,113.92100588327234,45.4,65.75591228171045,-1020.0,0.0,0.09999999403953552,28.744566679000854
20000,-705.809312582016,195.71401131149744,0.0,0.0,-1020.0,0.0,0.042148735374212265,245.58848023414612
30000,-167.27757926210762,610.7718777206007,195.8,387.61238370310105,-1020.0,0.0,0.0248692836612463,460.83054852485657
40000,-270.77902863770726,156.04203010914483,0.0,0.0,-630.6,476.91827392122434,0.020479967817664146,675.3111913204193
50000,-345.051935069263,77.23331910975746,1.6,3.2,-1020.0,0.0,0.014689510688185692,894.4984142780304
60000,19.850980831682683,494.24595875120843,199.0,398.0,-823.8,392.40000000000003,0.017696615308523178,1111.0657093524933
70000,-130.56838236302139,639.0204376964765,200.0,400.0,-839.2,361.6,0.025173986330628395,1326.031517982483
80000,526.7062355875969,510.99706825603823,581.6,473.1809801756617,-435.2,477.5694295073754,0.02908128686249256,1541.470309495926
90000,740.9199782013893,413.777437005588,778.2,389.23483913956113,-636.6,469.6141394804888,0.03145075589418411,1759.3428518772125
100000,513.2630930319428,541.4042661413364,589.4,481.3313204020699,-453.2,462.9001620220066,0.036306802183389664,1976.992727279663
110000,68.4818364545703,458.28639420359127,199.2,394.4121701976246,-76.0,30.932183886689927,0.031218893826007843,2191.4004604816437
120000,768.1546527817845,358.56829253493345,805.0,343.15710687671907,-239.2,390.67551753341286,0.03045659512281418,2406.8627858161926
130000,699.5787508897483,380.5849547807155,760.8,380.5435060541699,-292.0,367.059123303045,0.027476530522108078,2623.044179916382
140000,451.4522830948234,555.95364459464,572.6,465.5850513064181,-254.4,383.50311602384664,0.025493334978818893,2834.9110267162323
150000,193.36138466224074,580.0675411468247,401.0,446.58616189935844,-481.2,440.99814058564914,0.026354065164923668,3047.788566827774
160000,736.9884934090078,339.4408473758946,795.0,314.1604685507074,-265.6,377.78014770498464,0.025997912511229515,3260.944362640381
170000,636.4051411300898,571.6916238348177,772.4,386.5957061323884,-259.0,381.15823485791304,0.023351119831204414,3478.1302778720856
180000,940.8135563611984,18.278655476251323,976.8,7.573638491504595,-80.8,23.472537144501445,0.022415444254875183,3690.221837043762
190000,769.4780455425382,308.08633032455094,815.2,293.7123763139715,-639.2,466.7189304067278,0.022595053538680077,3904.288688182831
200000,931.9369729049504,15.383965237216824,970.4,7.227724399837061,-281.0,380.57430286344874,0.023379284888505936,4117.634608030319
210000,961.1928483217955,32.23293642689203,984.0,13.038404810405298,-240.2,390.4793976639484,0.022213956341147423,4332.924901008606
220000,945.9540469229221,32.769623669215214,977.8,12.464349160706305,-244.0,388.1118395514365,0.021465135738253593,4538.460787296295
230000,710.278145134449,438.63741105999065,774.2,387.7114390884024,-266.2,377.55285722664047,0.0209710244089365,4737.157908916473
240000,503.8442469865084,518.2131982789329,582.6,475.69216937006644,-67.6,41.92660253347509,0.02137087471783161,4931.181732416153
250000,941.2069087721408,32.674539041738505,973.8,16.4851448279959,-249.8,385.1303156075876,0.02004978619515896,5125.443825960159
260000,912.5144996300339,39.76230567786024,965.6,14.745846872933411,-231.0,394.51894758046797,0.01908167079091072,5319.759479761124
270000,758.5997564718127,380.2858569952976,798.8,365.96251174129844,-251.0,384.95869908342115,0.018838591873645782,5516.566085100174
280000,718.3584660902619,413.8678956942857,770.4,385.44031963457064,-47.2,14.702380759591286,0.017559368163347244,5716.073637962341
290000,500.25769151300193,507.85166085971144,579.8,473.4994825762748,-61.8,28.65937891860185,0.018367717042565346,5912.519659996033
300000,504.2399868965149,846.1731669965512,778.2,389.1736887303662,-45.0,8.508818954473059,0.017521971836686134,6117.210577487946
310000,747.7359262138605,412.94942681460475,785.0,392.55674749009216,-242.0,389.35279631717043,0.016766304150223732,6320.579696893692
320000,937.8691881775856,55.164498747674,976.4,21.378493866500513,-437.6,475.8287927395735,0.016672547906637192,6514.361083745956
330000,529.6130729675293,859.8210201659732,787.0,393.53729175263686,-236.0,392.30957163954076,0.0164857879281044,6705.1577270030975
340000,910.267903842032,40.13524814349306,961.2,16.4608626748418,-44.8,14.246403054806501,0.016807863488793373,6896.009780883789
