step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-913.2341250211,533.886440425426,28.0,35.71554283501792,-1020.0,0.0,0.09999999403953552,11.830013275146484
10000,-1013.6138840347528,230.55057126000347,81.6,98.94362030975014,-1020.0,0.0,0.09999999403953552,25.71672821044922
20000,-144.97747348174454,68.73657274790038,10.4,16.267759526130202,-1020.0,0.0,0.04318215325474739,211.25941562652588
30000,99.3572139725089,444.522728816598,199.2,394.4121701976246,-1020.0,0.0,0.0213457141071558,397.49717712402344
40000,120.07621702700854,426.9827828402414,230.2,377.5353758258953,-1020.0,0.0,0.022072628140449524,582.7983810901642
50000,519.8827032305301,468.3141518148237,568.2,426.2282956350974,-869.4,301.19999999999993,0.023856177926063538,767.4994165897369
60000,127.61979923993349,735.0866376731651,393.4,481.8794870089408,-631.0,476.43425569536873,0.026138149201869965,951.7231261730194
70000,-167.33483950570226,191.52129144167512,16.2,32.4,-333.4,354.8417111896514,0.03148423135280609,1134.146650314331
80000,78.78703760504723,434.28340882187825,198.2,379.6284499349331,-1020.0,0.0,0.030862150713801384,1320.5668709278107
90000,67.89954364299774,469.21315879736903,200.0,400.0,-642.2,462.76577228658556,0.033260710537433624,1505.7283005714417
100000,229.92374384850262,571.4856768245485,377.2,461.8559948728607,-672.0,429.203914241238,0.037693895399570465,1689.8277311325073
110000,-307.01263527199626,795.2920654648404,201.6,383.0292939188855,-660.2,443.0423907483346,0.047739870846271515,1874.5798058509827
120000,430.16004833057525,641.3591047041866,574.8,469.3260700195547,-655.4,446.56717299864306,0.03790831193327904,2059.8167695999146
130000,729.5898525521159,433.54228748806804,776.4,388.3717806432388,-638.8,467.0616233432158,0.04412921890616417,2245.8879158496857
140000,648.1272730693221,642.1251821538262,787.4,393.7245737822317,-473.2,446.61813666710844,0.03807460516691208,2428.441689014435
150000,407.58633478283883,687.4180443807893,584.2,477.18440879810817,-268.0,376.23450134191575,0.03746146708726883,2611.327392578125
160000,712.9179678410292,460.82244041840863,772.8,386.8014477739193,-255.8,382.53491343928334,0.04500039666891098,2792.809709072113
170000,741.304223793,403.40378096139466,771.6,386.90598341199114,-336.8,343.1637509994318,0.04006551206111908,2972.393340587616
180000,812.2800159588456,218.10229432062906,848.8,194.75256095877148,-251.2,384.47335408321857,0.041177161037921906,3150.8368740081787
190000,517.4551944702864,533.6257435042747,584.6,477.492031347121,-279.0,373.91496359466544,0.03634779527783394,3331.1070392131805
200000,79.73697678521276,763.5082566354372,385.8,472.5371519785508,-637.0,469.0901832270635,0.041706860065460205,3513.713716983795
210000,535.0125045768916,505.13008480726006,586.4,468.6886386504371,-236.6,392.4062180954832,0.039622485637664795,3695.363233566284
220000,382.1007959038019,740.7747112252472,586.0,478.7245554596087,-262.6,379.2938702378408,0.036746155470609665,3877.866480588913
230000,727.6296758957208,459.70431648975386,790.8,366.67555140750795,-70.4,50.05437043855411,0.030644576996564865,4058.053375482559
240000,704.1105416759849,412.9184395067627,763.6,382.58625171325747,-114.8,55.12313488908264,0.0296875461935997,4237.630727052689
250000,759.768427720666,423.5584141425795,791.8,388.948531299451,-444.4,470.4281454164918,0.02934078872203827,4419.037001848221
260000,541.7501415975391,494.64609316135983,594.6,467.0548575916966,-233.8,393.3412767559489,0.02863921783864498,4602.310980796814
270000,533.8411783993245,492.0510483714645,602.4,454.75866126990917,-283.8,371.8302838661746,0.029266968369483948,4784.451715707779
280000,409.60218197330835,462.65007496977245,496.8,423.28023814017115,-439.6,474.1099450549419,0.03284172713756561,4966.07715678215
290000,912.7534539580345,18.566889616337164,955.0,14.724129855444769,-243.4,388.4098865888973,0.02707749232649803,5147.784741163254
300000,684.5761050894856,488.6564964242,776.8,380.11387767352034,-271.2,374.87139127972944,0.028390448540449142,5330.089870691299
310000,928.8795552164316,34.585491342212876,968.6,17.304334717058612,-76.0,34.04115156689033,0.0295073501765728,5511.137597560883
320000,551.4210129231215,479.43125423483355,605.0,444.8150177320905,-252.0,385.1893041090315,0.029246628284454346,5692.94606757164
330000,962.3597898960113,22.715324435954944,982.0,8.921883209278185,-244.8,387.7418729000003,0.029783787205815315,5873.449939727783
340000,963.4377268701792,35.94747569260494,984.2,15.011995203836165,-441.0,472.88222635239737,0.029255185276269913,6056.4728038311005
350000,950.8829992324114,41.72106956329105,974.6,24.719223288768603,-65.0,20.12958022413781,0.028622042387723923,6235.790611743927
360000,967.3447362482548,15.714186838267276,982.8,6.013318551349164,-267.0,377.53198539991286,0.02750970609486103,6414.233239173889
370000,943.1140851616859,30.455791765972688,973.0,14.546477236774544,-84.4,32.751183184733954,0.0259370356798172,6593.831036806107
