step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
8792,1,-8952.0,8792,,,,
45778,2,-37706.0,36986,0.07266406714916229,91.72066497802734,-1.2854865789413452,0.004529747646301985
56622,3,-11044.0,10844,62.3371696472168,89.46714782714844,-1.8046526908874512,0.002615910256281495
60678,4,-4136.0,4056,2.9744696617126465,88.36942291259766,-1.6523993015289307,0.0022151062730699778
65911,5,-5333.0,5233,3.449523448944092,87.83740997314453,-2.149989366531372,0.0023649102076888084
67168,6,-1277.0,1257,0.042682796716690063,87.98942565917969,-2.0628273487091064,0.002389739267528057
69175,7,-2047.0,2007,0.07798434793949127,85.91524505615234,-2.144749164581299,0.0026282344479113817
94413,8,-25738.0,25238,3.115203857421875,87.80099487304688,-2.093844413757324,0.005882784724235535
95125,9,-712.0,712,0.028145071119070053,88.96318817138672,-1.8944969177246094,0.006022443063557148
96859,10,-1754.0,1734,0.12326372414827347,86.54661560058594,-1.5480798482894897,0.0055390335619449615
98881,11,-2062.0,2022,0.038613211363554,87.96669006347656,-1.6435883045196533,0.0047339205630123615
117410,12,-18889.0,18529,0.05919969826936722,90.84888458251953,-1.636695384979248,0.003351316787302494
127344,13,-10114.0,9934,6.6425371170043945,92.39112091064453,-1.9761888980865479,0.003777638543397188
130540,14,-3256.0,3196,0.07244563102722168,92.44461059570312,-2.1840474605560303,0.0039774044416844845
141669,15,-11349.0,11129,9.506270408630371,93.55274963378906,-1.9992773532867432,0.004169745370745659
143691,16,-2062.0,2022,0.049776580184698105,94.13310241699219,-1.99378502368927,0.004198873415589333
162743,17,-19432.0,19052,0.05140961706638336,95.3546371459961,-1.9461448192596436,0.004000713117420673
167116,18,-4453.0,4373,0.13004960119724274,95.8459243774414,-2.029428243637085,0.004014206118881702
172241,19,-5225.0,5125,3.320894718170166,96.14924621582031,-2.0424752235412598,0.004055971745401621
172916,20,-675.0,675,0.07576949894428253,96.17156982421875,-1.8351447582244873,0.004118107724934816
175636,21,-2760.0,2720,0.47157537937164307,96.23780059814453,-2.383063793182373,0.004273996688425541
201799,22,-26683.0,26163,0.028267981484532356,98.15164184570312,-2.010359764099121,0.004233154002577066
213369,23,-11790.0,11570,0.0839470848441124,98.30809020996094,-2.074575424194336,0.0042036413215100765
215383,24,-2054.0,2014,0.2672974467277527,98.39299011230469,-1.9295357465744019,0.004232669249176979
249441,25,-34738.0,34058,0.06067506596446037,99.21015930175781,-1.7655668258666992,0.004473590292036533
257532,26,-8251.0,8091,0.019270263612270355,99.13978576660156,-1.9975451231002808,0.00459935050457716
260843,27,-3371.0,3311,3.0634641647338867,99.45513916015625,-1.7939090728759766,0.004422472789883614
261188,28,-345.0,345,3.0507333278656006,99.24561309814453,-2.0861151218414307,0.0045477584935724735
265479,29,-4371.0,4291,3.112760543823242,99.4295654296875,-2.0738630294799805,0.004442420322448015
269991,30,-4592.0,4512,9.182622909545898,99.37924194335938,-1.9937140941619873,0.004380152560770512
275037,31,-5146.0,5046,0.02852737531065941,99.39583587646484,-1.9835364818572998,0.00453789159655571
275486,32,-449.0,449,73.01242065429688,99.43064880371094,-2.2696380615234375,0.004575884435325861
280872,33,-5486.0,5386,3.4713516235351562,99.42078399658203,-1.974806308746338,0.004344771150499582
281016,34,-144.0,144,2.67165470123291,99.45840454101562,-2.031503200531006,0.0043411715887486935
303579,35,-23003.0,22563,3.097554922103882,99.58906555175781,-2.006183624267578,0.004814105574041605
311709,36,-8290.0,8130,0.3057500123977661,99.39766693115234,-1.7666239738464355,0.00477594742551446
315702,37,-4053.0,3993,0.09203790128231049,99.42153930664062,-1.8991096019744873,0.004796825814992189
315773,38,-71.0,71,0.03342916816473007,99.51097106933594,-1.9096341133117676,0.004780538380146027
317883,39,-2150.0,2110,0.23029622435569763,99.37492370605469,-1.859941005706787,0.004651161376386881
321349,40,-3526.0,3466,0.07929159700870514,99.36544036865234,-2.137132167816162,0.004351843614131212
331358,41,-10209.0,10009,0.14367610216140747,99.28244018554688,-2.206965923309326,0.0046515935100615025
335502,42,-4224.0,4144,0.026809170842170715,99.5597915649414,-1.7068887948989868,0.004512266721576452
335791,43,-289.0,289,3.0488505363464355,99.65795135498047,-2.3627841472625732,0.004500222858041525
344860,44,-9249.0,9069,3.00624418258667,99.40828704833984,-2.196441173553467,0.004712517838925123
353213,45,-8513.0,8353,3.0745832920074463,99.56890869140625,-2.19708514213562,0.004754068795591593
353266,46,-53.0,53,0.03678639978170395,99.53019714355469,-1.803136944770813,0.004765746649354696
356332,47,-3126.0,3066,0.09477317333221436,99.59375762939453,-2.0774097442626953,0.004966928623616695
356716,48,-384.0,384,0.14839637279510498,99.57968139648438,-1.9689098596572876,0.0049934047274291515
358756,49,-2080.0,2040,2.386826992034912,99.25035858154297,-1.9989562034606934,0.005050480365753174
358787,50,-31.0,31,0.06875206530094147,99.82069396972656,-2.0663952827453613,0.00504135200753808
359791,51,-1024.0,1004,0.11983321607112885,99.37200927734375,-2.1836419105529785,0.004815650638192892
371805,52,-12254.0,12014,71.76445007324219,99.53483581542969,-1.984373927116394,0.004649746231734753
373994,53,-2229.0,2189,0.23236775398254395,99.46259307861328,-2.2756943702697754,0.004422915633767843
379278,54,-5384.0,5284,0.035891346633434296,99.265869140625,-1.8402957916259766,0.00460060266777873
386411,55,-7273.0,7133,4.39351749420166,99.65065002441406,-1.8008818626403809,0.0047889710403978825
399429,56,-13278.0,13018,2.3843657970428467,99.6360855102539,-2.2174577713012695,0.005164310801774263
401740,57,-2351.0,2311,0.23891262710094452,99.43071746826172,-2.343554735183716,0.005424829665571451
401972,58,-232.0,232,0.03280748054385185,99.50337219238281,-1.8309500217437744,0.005448877811431885
402402,59,-430.0,430,4.077971458435059,99.29547119140625,-1.8448737859725952,0.005363587290048599
405188,60,-2826.0,2786,2.5789661407470703,99.12423706054688,-1.870627760887146,0.0053610969334840775
407548,61,-2400.0,2360,0.03776253014802933,99.39237976074219,-1.8970714807510376,0.00555032305419445
435767,62,-28779.0,28219,0.03583671525120735,99.25364685058594,-1.9944887161254883,0.005735207349061966
441939,63,-6292.0,6172,0.26972073316574097,99.32962799072266,-1.6754376888275146,0.005576745606958866
443249,64,-1330.0,1310,0.03422065079212189,98.98683166503906,-1.9089393615722656,0.0052347551099956036
451272,65,-8183.0,8023,0.07796470820903778,98.96240997314453,-2.0882716178894043,0.005292822606861591
459422,66,-8310.0,8150,0.042798228561878204,99.24500274658203,-2.009462356567383,0.005105128511786461
471825,67,-12643.0,12403,0.039557743817567825,99.28704833984375,-2.003323554992676,0.005759255029261112
471992,68,-167.0,167,3.1463308334350586,99.09384155273438,-2.2610297203063965,0.005814827978610992
482894,69,-11102.0,10902,0.04526996985077858,99.03256225585938,-2.040743350982666,0.0053030564449727535
486173,70,-3339.0,3279,0.04072022810578346,98.99664306640625,-2.2673659324645996,0.00547489058226347
488335,71,-2202.0,2162,0.1625206172466278,99.21031188964844,-1.9412826299667358,0.005346017889678478
488663,72,-328.0,328,0.062278952449560165,99.3165054321289,-2.2557594776153564,0.005280712153762579
499751,73,-11308.0,11088,2.54591965675354,99.10968017578125,-2.218513011932373,0.005339444614946842
