step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-348.86063995808365,281.8685939390339,0.0,0.0,-1020.0,0.0,0.09999999403953552,12.219820737838745
10000,-291.9162150211632,441.5570330582361,95.4,171.50113702246992,-1020.0,0.0,0.09999999403953552,26.473963022232056
20000,-203.86044685542583,88.70836743488046,0.0,0.0,-1020.0,0.0,0.043424058705568314,181.49581718444824
30000,-164.07674605995416,60.0846393887383,0.0,0.0,-1020.0,0.0,0.021570319309830666,339.3061966896057
40000,0.9810145661234856,475.4170413341471,189.8,379.6,-1020.0,0.0,0.020301641896367073,497.7933900356293
50000,41.870789194107054,452.8674408311763,193.0,380.5238494496764,-853.2,333.6,0.02121146209537983,657.2383313179016
60000,57.50084671750665,464.7707015909291,201.6,392.2925439005947,-837.6,364.8,0.03269876167178154,812.957124710083
70000,284.15065480321647,511.5526163370782,418.2,424.78813542753284,-648.0,455.7806489968612,0.030566303059458733,968.7156584262848
80000,145.42023250907658,418.4356566495492,213.2,385.42413001782853,-638.2,467.7873020935904,0.030004318803548813,1125.104144334793
90000,26.728992881625892,442.98397105486856,200.8,371.37711291893044,-691.0,406.30530392796993,0.030636591836810112,1280.1246767044067
100000,-164.16637899279596,858.4952658743225,243.8,377.57987234491196,-1020.0,0.0,0.03155723586678505,1436.6178193092346
110000,463.335386043787,536.4316737615015,555.4,456.75402570749173,-642.0,463.0058314967534,0.032705649733543396,1592.5583403110504
120000,508.59913040548565,535.7802258638059,581.4,475.0198311649736,-294.8,363.5460906130061,0.032940108329057693,1744.9631135463715
130000,441.7060075446963,602.635510696214,580.0,467.9790593605658,-299.4,371.3481385438737,0.03157130628824234,1905.6961662769318
140000,510.0844110056758,522.5590662157375,583.4,463.95629104474915,-824.6,390.8,0.033731915056705475,2067.81329870224
150000,670.9909764260053,535.6875203160279,758.2,380.1343972860125,-291.8,366.4584014591561,0.032865192741155624,2227.0256686210632
160000,669.20732749179,394.51939031302516,713.2,362.04275990551173,-275.4,372.9019173992003,0.03235749527812004,2386.716159105301
170000,139.51855535805225,394.46395321851367,220.4,370.3903886441979,-1020.0,0.0,0.03031679429113865,2544.003233194351
180000,918.055262503028,32.918999847451516,948.0,25.059928172283335,-445.0,469.637306865628,0.035616785287857056,2695.781020641327
190000,718.8043269574642,463.0548983098882,773.6,387.40191016565734,-256.2,382.0944385881584,0.031998440623283386,2846.789123773575
200000,316.4495525494218,529.4564089097659,387.0,474.42175329552504,-298.8,362.37295704839784,0.0307060107588768,2998.5982987880707
210000,299.4880173668265,453.107427395402,375.6,432.0530522979788,-655.4,447.205366694095,0.0296900887042284,3152.3145899772644
220000,944.6993545681238,28.60496489382357,978.4,11.16422858956229,-672.0,426.4181046813092,0.03030746430158615,3305.2458906173706
230000,704.9657034605741,415.44508700712964,760.6,383.7554429581423,-466.8,452.60994244492684,0.027114354074001312,3456.917454481125
240000,723.8499496772886,406.5262805186064,771.8,378.09966939948515,-107.4,33.5952377577537,0.025327041745185852,3607.9735753536224
250000,912.8226677872241,93.33683193907734,945.0,68.27298147876654,-114.4,78.22429290188566,0.02748989127576351,3756.8971738815308
260000,484.96637223437426,502.3328183585749,567.0,457.7213125909695,-317.2,365.8400743494348,0.02413545362651348,3907.333179950714
270000,950.1880009800195,20.93528041628586,975.4,8.593020423576334,-140.2,144.03110775106882,0.0252182949334383,4063.1384460926056
280000,750.4096346825361,416.72149764475506,777.0,388.7770569362344,-48.2,19.456618411224497,0.02722642943263054,4216.908496141434
290000,519.0718123629689,536.9924805531662,581.6,475.7165542631452,-307.4,364.0162633729433,0.027669757604599,4368.372132539749
300000,940.1992115750909,38.49345093663796,967.0,20.11964214393487,-65.8,32.39382657235789,0.02637774497270584,4517.907998323441
310000,973.0948523446917,12.237125189725441,985.6,6.651315659326356,-74.0,18.077610461562667,0.027038488537073135,4665.28944849968
320000,946.7983410328627,27.61356291706449,971.6,18.2931681236466,-829.4,381.2,0.02589642070233822,4817.2582042217255
330000,966.8973621279001,17.109514475875997,982.8,8.908422980528035,-461.8,455.7935497569048,0.0258061271160841,4968.434676170349
340000,739.0921334847808,410.0105746540273,778.8,389.5183692715916,-266.0,377.94126527808527,0.026004744693636894,5117.523394584656
350000,108.96026238203049,1147.5940282640754,576.8,455.5389774761321,-254.2,383.0902765667643,0.023180974647402763,5265.7866044044495
360000,625.9325680166482,592.0094747923779,769.6,384.95953034052815,-257.2,382.6405101397394,0.022143729031085968,5416.175606966019
370000,935.6224917143584,26.597013909306646,964.8,19.903768487399564,-266.0,377.6691673938978,0.02328873798251152,5568.076072216034
380000,700.8363039582968,444.45774581437894,772.4,386.242721614272,-85.2,33.76625534464845,0.022835809737443924,5721.225472211838
390000,730.8691361837089,411.1376013417306,781.0,380.70250852864103,-249.2,385.89708472596675,0.02270747534930706,5875.84748840332
400000,556.4974888980389,513.0771257355642,605.6,469.3014383101761,-75.0,26.780589986032794,0.02207639254629612,6029.472468852997
410000,750.6073989331722,428.1611868604686,786.4,393.2269573668621,-262.0,379.63824886330934,0.024208281189203262,6183.070520401001
420000,745.9588880971074,400.89299009290323,780.8,384.4317364630553,-298.0,367.470815167681,0.02186017856001854,6334.163107633591
430000,936.1881628483534,37.26569557358967,966.8,21.320412753978285,-440.4,473.32128623166733,0.022686900570988655,6486.0358543396
440000,736.9994732558728,448.6602770132949,788.0,394.0421297272666,-325.0,369.012736907549,0.020275788381695747,6636.441399335861
450000,957.556177264452,35.16953258429532,978.6,16.341358572652396,-65.4,18.358649187780674,0.02101830206811428,6784.097144365311
460000,746.1496233671903,392.24086095579514,791.0,361.8695897695743,-257.8,383.5243929660798,0.018425630405545235,6931.30545592308
470000,947.6321492433548,31.722125024728616,976.2,14.715977711317723,-44.4,17.141761869772896,0.019341005012392998,7078.521585226059
480000,933.9456247247756,72.23488795548661,957.6,49.70150903141675,-79.4,22.826300620118012,0.02042926475405693,7226.724595069885
490000,943.937657725811,45.80406265935566,971.2,20.488045294756645,-634.0,472.7553278388304,0.019800197333097458,7379.326034784317
500000,547.5101094044745,479.4033931345732,592.2,456.8436931818147,-458.4,458.7489945493069,0.01997024193406105,7526.755703449249
