step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
11298,1,-11518.0,11298,0.01865626871585846,3.0740129947662354,0.8218463659286499,0.08832155168056488
14750,2,-3512.0,3452,2.8983702659606934,10.171537399291992,1.100083351135254,0.06393551081418991
25411,3,-10861.0,10661,0.04682900011539459,30.484149932861328,0.137101411819458,0.025118930265307426
80645,4,-56334.0,55234,0.6212985515594482,137.74429321289062,-1.6719915866851807,0.0143228555098176
84654,5,-4089.0,4009,0.35108980536460876,125.21697998046875,-3.2145774364471436,0.015080610290169716
87066,6,-2452.0,2412,0.10692383348941803,119.89593505859375,-1.3662986755371094,0.014610927551984787
90073,7,-3067.0,3007,3.23199200630188,123.0074234008789,-3.624762773513794,0.015390717424452305
112352,8,-22719.0,22279,0.18998907506465912,107.27327728271484,-0.7786450386047363,0.014599611051380634
143612,9,-31880.0,31260,0.17735865712165833,97.98326873779297,-1.0702705383300781,0.008705658838152885
144702,10,-1110.0,1090,0.5704343318939209,100.29808044433594,-2.5824689865112305,0.008700608275830746
147182,11,-2520.0,2480,0.10157695412635803,98.59403228759766,-3.367992401123047,0.009039439260959625
186204,12,-39802.0,39022,0.06881869584321976,99.25599670410156,-1.41476571559906,0.006817410700023174
191285,13,-5181.0,5081,0.7384680509567261,97.81620025634766,-2.644272804260254,0.00706231826916337
226995,14,-36410.0,35710,0.07426749169826508,95.13328552246094,-1.746383547782898,0.007390126585960388
304761,15,-79306.0,77766,0.8379074335098267,-322.4110412597656,-8.344602584838867,0.013475180603563786
306974,16,-2253.0,2213,0.15253376960754395,-357.8821716308594,-0.8442569971084595,0.01496748998761177
314385,17,-7551.0,7411,3.132481575012207,-217.56076049804688,-0.6270820498466492,0.012810873799026012
327411,18,-13286.0,13026,0.1116594523191452,-140.38140869140625,-0.901157796382904,0.013657837174832821
330999,19,-3648.0,3588,0.9335898756980896,-68.94180297851562,-1.6302437782287598,0.013052175752818584
335670,20,-4751.0,4671,8.838841438293457,-61.182891845703125,-1.6208503246307373,0.012675443664193153
341873,21,-6323.0,6203,4.111287593841553,-78.20291900634766,-2.227254629135132,0.012358924373984337
461115,22,-121622.0,119242,1.9188810586929321,90.65399932861328,-2.3473727703094482,0.004949839320033789
468046,23,-7051.0,6931,26.063343048095703,93.81074523925781,-3.185467004776001,0.00487684179097414
472291,24,-4325.0,4245,264.252197265625,94.10443115234375,-2.6894915103912354,0.004747612401843071
478886,25,-6715.0,6595,1.0100693702697754,94.20353698730469,-1.478633165359497,0.004476530477404594
