step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
1000,1,-870.8493383601308,1000,,,,
2000,2,-820.3573717698455,1000,,,,
3000,3,-941.1251807436347,1000,,,,
4000,4,-834.05736528337,1000,,,,
5000,5,-801.9809539243579,1000,,,,
6000,6,-1053.3167265802622,1000,,,,
7000,7,-870.767235815525,1000,,,,
8000,8,-932.2298250496387,1000,,,,
9000,9,-821.1448334604502,1000,,,,
10000,10,-862.3038118481636,1000,,,,
11000,11,-425.9449100792408,1000,0.06054913252592087,1.2396878004074097,-0.7919847369194031,0.09297449141740799
12000,12,1.5475489012897015,1000,0.07285653054714203,1.7652080059051514,-0.6013816595077515,0.08649919927120209
13000,13,-208.3691599741578,1000,0.06036723777651787,2.3071272373199463,-0.6484541296958923,0.07928766310214996
14000,14,-382.9778606593609,1000,0.0200950987637043,2.9074764251708984,-0.6473228335380554,0.07250859588384628
15000,15,-154.4840012639761,1000,0.043006427586078644,3.546433448791504,-0.8358029127120972,0.06636379659175873
16000,16,-308.7112581729889,1000,0.04114041104912758,4.05966854095459,-0.7648900747299194,0.06077335402369499
17000,17,136.52750186994672,1000,0.032399050891399384,4.675383567810059,-0.8852490782737732,0.05578188970685005
18000,18,-261.10581332445145,1000,0.040149807929992676,4.733024597167969,-0.9915561079978943,0.051280390471220016
19000,19,-209.02167147397995,1000,0.02533910982310772,5.339673042297363,-1.086844563484192,0.04714405909180641
20000,20,-262.39568777382374,1000,0.0386124849319458,5.590933799743652,-1.1381468772888184,0.04337325319647789
21000,21,-149.14835389703512,1000,0.04824729636311531,6.0589704513549805,-1.1550657749176025,0.039995670318603516
22000,22,-149.8324777558446,1000,0.053485721349716187,6.346246242523193,-1.2619011402130127,0.03695458918809891
23000,23,-129.94480500370264,1000,0.022870104759931564,6.290290832519531,-1.3168400526046753,0.03411358222365379
24000,24,-233.93078412115574,1000,0.03424614667892456,6.078073978424072,-1.246934413909912,0.031411390751600266
25000,25,568.4012412726879,1000,0.022190002724528313,6.306235313415527,-1.5614557266235352,0.029057972133159637
26000,26,-144.4748027473688,1000,0.02569040097296238,6.008141040802002,-1.4973475933074951,0.027108654379844666
27000,27,-191.94195438921452,1000,0.04431140422821045,5.495837211608887,-1.6430810689926147,0.025259707123041153
28000,28,-23.327200394123793,1000,0.03672836348414421,6.020811080932617,-1.8311524391174316,0.023553766310214996
29000,29,-239.3908172249794,1000,0.03908122330904007,5.206997871398926,-1.780045747756958,0.02208574116230011
30000,30,-166.8381927087903,1000,0.026679828763008118,6.425443649291992,-1.9003286361694336,0.020739024505019188
31000,31,146.7148543819785,1000,0.06429489701986313,6.242485046386719,-1.8041105270385742,0.019641615450382233
32000,32,-304.38455940783024,1000,0.03292283043265343,6.568863391876221,-1.8685243129730225,0.018788807094097137
33000,33,6.246918506920338,1000,0.03655407577753067,6.306476593017578,-2.0132949352264404,0.018309464678168297
34000,34,-28.838177364319563,1000,0.05331271514296532,5.008082866668701,-1.95371675491333,0.0185012836009264
35000,35,-103.22389122098684,1000,0.05209723114967346,4.081763744354248,-2.0091912746429443,0.019013306125998497
36000,36,823.3982082121074,1000,0.06523317843675613,5.977689743041992,-2.003612995147705,0.01915203407406807
37000,37,886.4362617582083,1000,0.059330783784389496,4.07575798034668,-1.967783808708191,0.019477758556604385
38000,38,-120.71860719844699,1000,0.048238638788461685,5.493596076965332,-1.9170994758605957,0.01968676783144474
39000,39,-117.10491194203496,1000,0.06109488010406494,5.004951000213623,-2.0374581813812256,0.020052853971719742
40000,40,-102.83410715311766,1000,0.059907034039497375,5.96874475479126,-1.9861056804656982,0.02102351002395153
41000,41,942.0105946213007,1000,0.06987866759300232,3.7978672981262207,-2.2002346515655518,0.021889347583055496
42000,42,891.7302502542734,1000,0.1010589748620987,1.6672316789627075,-2.05570912361145,0.023237140849232674
43000,43,-168.38018100708723,1000,0.09043588489294052,-2.313056707382202,-1.995702862739563,0.0246278066188097
44000,44,-528.113224118948,1000,0.06666816025972366,-1.3684498071670532,-1.9985806941986084,0.025233138352632523
45000,45,-368.2827846109867,1000,0.11821109801530838,-1.3727232217788696,-2.17482852935791,0.025853632017970085
46000,46,-125.91019151359797,1000,0.10349232703447342,-2.12821626663208,-1.8985800743103027,0.026350559666752815
47000,47,-180.22052287310362,1000,0.0849364772439003,-1.7408757209777832,-2.0353355407714844,0.02658192254602909
48000,48,512.6617963053286,1000,0.08857423812150955,-0.8128046989440918,-1.948603868484497,0.02708987146615982
49000,49,-224.5898748114705,1000,0.11007238924503326,-2.0706963539123535,-2.011173963546753,0.026793288066983223
50000,50,-344.78488923609257,1000,0.12010157108306885,-2.3240997791290283,-1.9103240966796875,0.026851950213313103
51000,51,-193.46651987731457,1000,0.10362999886274338,-4.374591827392578,-2.0443525314331055,0.02689209394156933
52000,52,766.4777379855514,1000,0.1296125054359436,-7.122400760650635,-1.8388161659240723,0.027071760967373848
53000,53,-192.48847714811563,1000,0.09443893283605576,-4.0039896965026855,-1.939976453781128,0.027455367147922516
54000,54,-134.9639913663268,1000,0.12298882007598877,-6.902365684509277,-1.9553691148757935,0.027240915223956108
55000,55,-331.071322709322,1000,0.18163931369781494,-3.1787238121032715,-1.9530171155929565,0.028053469955921173
56000,56,-277.85315643996,1000,0.1591208577156067,-5.476436138153076,-2.037551164627075,0.028819490224123
57000,57,-113.41127319633961,1000,0.136546790599823,-8.12132453918457,-2.195756196975708,0.028194736689329147
58000,58,-331.8298622369766,1000,0.11570518463850021,-5.144333839416504,-1.9085406064987183,0.027621641755104065
59000,59,-258.40723161399364,1000,0.11903313547372818,-7.485638618469238,-2.005980968475342,0.027367616072297096
60000,60,-170.83940111473203,1000,0.11979138851165771,-6.184554100036621,-2.1608784198760986,0.02631487511098385
61000,61,-206.26338455826044,1000,0.1294706165790558,-6.686912536621094,-2.046926736831665,0.025981051847338676
62000,62,169.95893767103553,1000,0.12118430435657501,-5.296990394592285,-1.9412028789520264,0.025895388796925545
63000,63,905.1924376264215,1000,0.1323467344045639,-7.6395487785339355,-2.0286481380462646,0.025966914370656013
64000,64,-39.940337873995304,1000,0.12851911783218384,-10.430739402770996,-2.0256731510162354,0.026352399960160255
65000,65,827.1665103957057,1000,0.13628989458084106,-6.309173583984375,-1.974464774131775,0.02665575034916401
66000,66,971.816221922636,1000,0.139572411775589,-10.196939468383789,-1.981966495513916,0.027129588648676872
67000,67,96.59404927119613,1000,0.11690262705087662,-8.61874771118164,-2.0186636447906494,0.02758762240409851
68000,68,586.6497650705278,1000,0.17286905646324158,-9.25838851928711,-2.0365488529205322,0.02767987921833992
69000,69,968.8847301825881,1000,0.19378961622714996,-13.290407180786133,-1.970932126045227,0.027561793103814125
70000,70,938.1932523176074,1000,0.2040586769580841,-13.609808921813965,-2.192647933959961,0.02880537509918213
71000,71,-513.3767801821232,1000,0.1835581660270691,-11.884925842285156,-1.9224382638931274,0.029263408854603767
72000,72,805.7803682684898,1000,0.21600089967250824,-12.555662155151367,-1.9887003898620605,0.0290797408670187
73000,73,-103.80670910328627,1000,0.2238052785396576,-15.160019874572754,-2.078376293182373,0.02910369075834751
74000,74,134.7254712805152,1000,0.18458425998687744,-17.073974609375,-1.9305856227874756,0.028555920347571373
75000,75,723.9946180544794,1000,0.18501675128936768,-14.671403884887695,-1.9569149017333984,0.02898327447474003
76000,76,-112.56460057199001,1000,0.18607327342033386,-13.303505897521973,-1.926482915878296,0.029577108100056648
77000,77,964.1013593226671,1000,0.19642306864261627,-17.975954055786133,-1.9732425212860107,0.030017269775271416
78000,78,894.7155931070447,1000,0.24936556816101074,-20.296283721923828,-1.9104479551315308,0.03081364743411541
79000,79,937.953209053725,1000,0.21391525864601135,-18.08126449584961,-1.986444115638733,0.03131067007780075
80000,80,-130.64658961817622,1000,0.21936020255088806,-18.686206817626953,-1.8278862237930298,0.031895339488983154
81000,81,946.4474144726992,1000,0.22580841183662415,-20.872005462646484,-2.016329765319824,0.032044049352407455
82000,82,839.9215636849403,1000,0.2441837042570114,-22.64519500732422,-2.0813820362091064,0.03272012993693352
83000,83,875.8773275874555,1000,0.26316988468170166,-20.865276336669922,-1.8460726737976074,0.03325876593589783
84000,84,674.3922321945429,1000,0.31338465213775635,-23.868202209472656,-1.9030569791793823,0.03362371772527695
85000,85,-374.2728111743927,1000,0.2922099828720093,-19.721057891845703,-1.831696629524231,0.03321947529911995
86000,86,985.3701209425926,1000,0.21637022495269775,-23.042232513427734,-1.9562312364578247,0.032145339995622635
87000,87,1000.0,1000,0.21263881027698517,-22.811655044555664,-1.9686182737350464,0.033515654504299164
88000,88,888.9101472571492,1000,0.18738676607608795,-26.164169311523438,-2.070192575454712,0.03364047035574913
89000,89,546.237580947578,1000,0.19129261374473572,-29.364723205566406,-1.9335925579071045,0.03436581417918205
90000,90,917.9885451756418,1000,0.21740365028381348,-24.974313735961914,-1.901289939880371,0.03486311435699463
