step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-2.9238114811480047,495.92864945919723,203.4,392.9496659878972,-894.6,250.8,0.09999999403953552,11.392483711242676
10000,-21.867805945128204,340.7996834597454,137.4,274.8,-1020.0,0.0,0.09999999403953552,25.12622308731079
20000,-212.21105351224543,108.58448440046196,12.4,24.800000000000004,-1020.0,0.0,0.04003165289759636,208.66160321235657
30000,-218.4344098612666,75.42851344313893,1.6,3.2000000000000006,-1020.0,0.0,0.01690782979130745,403.6264638900757
40000,-9.057217624038458,436.34409814675604,176.2,352.3999999999999,-967.4,105.19999999999999,0.007507864385843277,598.0797426700592
50000,-422.94767789542675,419.4122707762062,173.8,216.97594336700092,-1020.0,0.0,0.006281068082898855,799.6337008476257
60000,-625.007890124619,358.32948481253396,7.6,10.3072789813801,-1020.0,0.0,0.007984998635947704,992.8161602020264
70000,-562.4552000641822,240.06078618085473,4.4,8.8,-1020.0,0.0,0.0068534561432898045,1188.535952091217
80000,-337.7686839751899,35.116371665802184,1.0,2.0,-931.6,176.8,0.008215724490582943,1381.3119902610779
90000,-572.6864652268589,84.15551906013789,30.4,37.49453293481598,-1020.0,0.0,0.008188745006918907,1573.9822573661804
100000,-288.32053804248574,61.40186983529491,0.0,0.0,-890.0,260.0,0.008773498237133026,1755.7063572406769
110000,-334.78769064694643,170.38189406098442,61.8,123.60000000000001,-969.2,101.6,0.008304744027554989,1940.205551624298
120000,-389.0722001135349,136.83937318308597,21.0,34.9857113690718,-1020.0,0.0,0.00785876251757145,2129.685617685318
130000,-291.7650830857456,496.2221420682863,172.2,250.8708034028671,-1020.0,0.0,0.008215884678065777,2311.2303671836853
140000,-249.7382201373577,96.878057996261,19.4,23.762154784446636,-916.2,207.6,0.008903264068067074,2493.8542981147766
150000,-102.48481329903007,334.9605502102261,154.4,265.64833897466775,-841.0,358.0,0.008392458781599998,2681.2145726680756
