step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-348.86063995808365,281.8685939390339,0.0,0.0,-1020.0,0.0,0.09999999403953552,12.298990964889526
10000,-291.9162150211632,441.5570330582361,95.4,171.50113702246992,-1020.0,0.0,0.09999999403953552,25.858253479003906
20000,-872.6978781223297,411.88190165366075,2.4,3.0066592756745814,-1020.0,0.0,0.041469018906354904,178.76179552078247
30000,-213.15241433233024,589.5183278545853,191.8,370.2477008706469,-829.2,381.6,0.019242003560066223,327.9942934513092
40000,210.8890968963504,554.9485080918047,386.8,463.25345114742544,-827.4,385.2,0.017692802473902702,479.10284638404846
50000,-90.2340823084116,560.1237778581777,241.2,375.2979616251599,-634.6,472.10575086520606,0.027496669441461563,628.081538438797
60000,-92.29545425251126,999.7666184781145,387.8,464.88381344159535,-825.8,388.4,0.029728153720498085,779.2606887817383
70000,244.9717439711094,787.5190522568184,574.0,468.8142489302133,-242.0,389.0557800624481,0.02662137895822525,927.2694637775421
80000,40.14846595823765,793.646544823149,402.8,454.57382238751933,-629.0,478.94049734805265,0.027546130120754242,1079.4068455696106
90000,837.8218456849456,51.603097618356784,921.2,44.732091388621654,-445.4,469.25541019790063,0.028561946004629135,1227.3372395038605
100000,574.2855772197247,685.9199683485249,775.0,385.1820348874023,-635.6,470.83440825835993,0.025626879185438156,1382.553010225296
110000,745.599136430025,432.84779601705384,789.2,394.6823532918592,-448.0,467.36409789370856,0.023944290354847908,1537.9075186252594
120000,727.258820989728,446.5578476645252,791.4,379.7381202881797,-634.4,472.8410303685584,0.022784026339650154,1687.3649969100952
130000,694.6597268283367,462.26641586736605,778.0,389.06708933036214,-438.0,475.31505341194486,0.020974650979042053,1835.7452824115753
140000,585.0874320298433,749.886482777929,786.2,393.1831125569866,-248.8,385.6425287750302,0.018833035603165627,1984.919250011444
150000,348.9593865394592,1212.45007271838,785.4,392.8982565499623,-437.0,476.20247794399387,0.02035733312368393,2131.61877989769
160000,424.90971234589813,647.4919120001965,592.2,466.65593320989717,-442.0,471.97923683145217,0.021737974137067795,2280.569041967392
170000,40.00776801109314,792.6186464721927,421.8,448.506142655817,-431.8,480.2934103233148,0.020831674337387085,2430.826206922531
180000,920.1630599975585,19.44411188754665,966.6,11.959933110180842,-245.2,388.26866986662725,0.023238325491547585,2579.266489505768
190000,944.290138849616,34.5653677250024,979.0,13.942740046346701,-441.8,472.37375032912234,0.021288065239787102,2726.4984283447266
200000,957.6394251093268,32.66896724211384,983.2,11.478675881825394,-429.6,482.10812065344845,0.019106490537524223,2873.641964197159
210000,566.2617865592241,788.4664081414307,786.4,393.3073098735898,-249.4,385.8640174983928,0.018824448809027672,3020.309065103531
220000,919.1791974067688,22.176604473140635,969.4,9.068627239003707,-633.6,473.39395855883083,0.01734762266278267,3167.842586994171
230000,687.8731956928968,535.2994726783892,788.2,386.7352582840101,-635.2,471.5262028774223,0.016438094899058342,3314.64945602417
240000,179.48189172297717,962.8273380643072,582.8,473.9651463979182,-257.4,382.01130873313156,0.01710987463593483,3470.1199221611023
250000,950.0979346275329,29.914597091008762,982.0,10.392304845413264,-452.6,463.5953407876313,0.01666019856929779,3625.530897140503
260000,899.1795997321606,73.205557795813,954.8,37.20967616091277,-61.4,36.95186057561919,0.01632116548717022,3775.9321525096893
270000,563.6018785268068,758.2904930258644,782.0,391.092827855485,-36.6,23.652484013312428,0.015215537510812283,3923.6073524951935
280000,944.7966500759125,41.436225679290324,978.2,14.905032707109367,-256.2,383.5666304568216,0.014185781590640545,4073.471107006073
290000,946.0760334581137,44.74020798936634,978.6,17.872884490199112,-247.6,386.6329525531935,0.013706625439226627,4221.480837106705
300000,734.7227351568639,403.1023259180482,782.8,380.15491579091804,-60.8,15.535765188750762,0.01463377010077238,4369.460088253021
310000,750.3083967074751,434.8767367607875,790.8,395.51657360975406,-233.0,393.6755008887396,0.015138478949666023,4517.759195804596
320000,925.7204535603523,30.109543479250117,971.4,12.43543324536785,-241.4,389.5128239223967,0.01365763507783413,4669.59038066864
330000,690.7669693410396,460.64109108054646,777.0,388.7106893307669,-239.4,390.50664526996206,0.014652741141617298,4821.137642621994
340000,956.596826839447,22.801992254472573,982.4,9.810198774744576,-251.2,384.8539463224978,0.01497427187860012,4972.171103239059
350000,928.0033673197031,29.554472370122543,972.8,11.754148203932091,-30.2,10.85172797300043,0.014564357697963715,5121.9993052482605
360000,718.7382445216178,409.5615896704274,777.6,388.9213802299894,-436.2,476.7831372857056,0.014695297926664352,5280.133710861206
