step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
1000,1,183.0,1000,,,,
2000,2,0.0,1000,,,,
3000,3,0.0,1000,,,,
4000,4,328.0,1000,,,,
5000,5,0.0,1000,,,,
6000,6,112.0,1000,,,,
7000,7,0.0,1000,,,,
8000,8,0.0,1000,,,,
9000,9,0.0,1000,,,,
10000,10,71.0,1000,,,,
11000,11,138.0,1000,0.06862758100032806,-0.7002390027046204,1.265439510345459,0.09037284553050995
12000,12,223.0,1000,0.08910060673952103,-1.0707132816314697,1.2551510334014893,0.08225083351135254
13000,13,0.0,1000,0.06854179501533508,-1.7768739461898804,0.8124572038650513,0.07523208111524582
14000,14,257.0,1000,0.09568814933300018,-2.458960771560669,0.9165316820144653,0.0690549984574318
15000,15,906.0,1000,0.09122125804424286,-3.669947624206543,0.7438890933990479,0.06339562684297562
16000,16,41.0,1000,0.12048782408237457,-4.188431739807129,0.33898118138313293,0.05818944051861763
17000,17,0.0,1000,0.15744800865650177,-5.381615161895752,0.29144418239593506,0.05342550948262215
18000,18,0.0,1000,0.09242407232522964,-6.548233509063721,0.39547550678253174,0.04907604306936264
19000,19,0.0,1000,0.2121942788362503,-7.1010332107543945,-0.0015616416931152344,0.04510636255145073
20000,20,0.0,1000,0.1916416883468628,-8.142170906066895,-0.0005534403026103973,0.041469018906354904
21000,21,611.0,1000,0.20741978287696838,-9.670827865600586,-0.42979884147644043,0.03817412629723549
22000,22,0.0,1000,0.14700442552566528,-9.711673736572266,-0.4531070291996002,0.03532512113451958
23000,23,0.0,1000,0.16746336221694946,-10.403611183166504,-1.0771597623825073,0.03281697630882263
24000,24,0.0,1000,0.12474897503852844,-10.474283218383789,-0.8236116170883179,0.030459348112344742
25000,25,14.0,1000,0.11857476830482483,-10.096335411071777,-0.8495225310325623,0.028174113482236862
26000,26,10.0,1000,0.14355772733688354,-12.166997909545898,-0.9181342720985413,0.025987569242715836
27000,27,0.0,1000,0.1719510555267334,-12.95655345916748,-1.2840687036514282,0.02407429926097393
28000,28,600.0,1000,0.12563185393810272,-14.036402702331543,-1.447449803352356,0.022480100393295288
29000,29,0.0,1000,0.1559668481349945,-14.416194915771484,-1.1550389528274536,0.020819246768951416
30000,30,0.0,1000,0.14714792370796204,-14.726495742797852,-1.5841538906097412,0.019242003560066223
31000,31,0.0,1000,0.15208616852760315,-15.381305694580078,-1.7145074605941772,0.01809481531381607
32000,32,55.0,1000,0.17109107971191406,-16.05747413635254,-1.725172758102417,0.017298448830842972
33000,33,0.0,1000,0.15074752271175385,-16.548870086669922,-2.132711887359619,0.017345819622278214
34000,34,0.0,1000,0.15805800259113312,-18.498119354248047,-2.1005020141601562,0.017629044130444527
35000,35,6.0,1000,0.15453381836414337,-17.7302303314209,-2.249276638031006,0.01763368397951126
36000,36,0.0,1000,0.1431412398815155,-19.214380264282227,-1.5761831998825073,0.017113693058490753
37000,37,0.0,1000,0.1640891134738922,-19.002138137817383,-1.8320015668869019,0.01563052088022232
38000,38,986.0,1000,0.19166769087314606,-19.114805221557617,-2.0958595275878906,0.015461936593055725
39000,39,964.0,1000,0.1647842824459076,-21.353023529052734,-2.4201560020446777,0.01627415604889393
40000,40,800.0,1000,0.19187675416469574,-21.7078857421875,-2.4344565868377686,0.017692802473902702
41000,41,49.0,1000,0.19290965795516968,-21.831544876098633,-2.244922161102295,0.019448181614279747
42000,42,355.0,1000,0.18017703294754028,-22.813465118408203,-2.3502306938171387,0.02059684693813324
43000,43,965.0,1000,0.21111464500427246,-25.051536560058594,-2.110189437866211,0.022325072437524796
44000,44,5.0,1000,0.16056033968925476,-26.12165069580078,-2.099091053009033,0.0233987458050251
45000,45,957.0,1000,0.18779897689819336,-25.423748016357422,-1.9065759181976318,0.024495193734765053
46000,46,579.0,1000,0.26433098316192627,-28.224411010742188,-2.343195915222168,0.025332489982247353
47000,47,0.0,1000,0.2021094560623169,-29.869464874267578,-1.9991059303283691,0.026803651824593544
48000,48,749.0,1000,0.16934697329998016,-31.269845962524414,-1.9070451259613037,0.027819206938147545
49000,49,0.0,1000,0.1905968189239502,-30.065650939941406,-1.9053544998168945,0.027903148904442787
50000,50,482.0,1000,0.23450645804405212,-30.503196716308594,-1.9150116443634033,0.027496669441461563
51000,51,0.0,1000,0.18389102816581726,-30.351932525634766,-2.237989902496338,0.027321001514792442
52000,52,0.0,1000,0.21873050928115845,-33.60664367675781,-2.0642428398132324,0.02708379365503788
53000,53,965.0,1000,0.17345911264419556,-30.927928924560547,-1.8777344226837158,0.026756754145026207
54000,54,940.0,1000,0.22206640243530273,-33.35554122924805,-1.9945626258850098,0.02659912221133709
55000,55,971.0,1000,0.18163460493087769,-33.665618896484375,-1.995119333267212,0.0273732990026474
56000,56,947.0,1000,0.2471558153629303,-36.03461456298828,-2.0428876876831055,0.027908457443118095
57000,57,995.0,1000,0.22414043545722961,-35.990840911865234,-2.2633914947509766,0.028402913361787796
58000,58,956.0,1000,0.22110748291015625,-38.197418212890625,-2.0915844440460205,0.029249757528305054
59000,59,985.0,1000,0.17859405279159546,-40.921478271484375,-2.1393322944641113,0.029831187799572945
60000,60,3.0,1000,0.2550238072872162,-39.30593490600586,-2.002255439758301,0.029728153720498085
61000,61,0.0,1000,0.3156728744506836,-38.65082550048828,-2.2398290634155273,0.029752254486083984
62000,62,999.0,1000,0.31811028718948364,-41.70410919189453,-2.264500141143799,0.0295539740473032
63000,63,0.0,1000,0.25402921438217163,-41.61810302734375,-2.1547183990478516,0.029460828751325607
64000,64,978.0,1000,0.2778911590576172,-42.92460632324219,-2.1025876998901367,0.029211316257715225
65000,65,903.0,1000,0.2834102511405945,-44.02490234375,-1.7938673496246338,0.028637176379561424
66000,66,9.0,1000,0.21824601292610168,-46.139556884765625,-1.9065921306610107,0.028215037658810616
67000,67,946.0,1000,0.2659343183040619,-45.23756408691406,-1.9977550506591797,0.0274916160851717
68000,68,21.0,1000,0.28375479578971863,-45.840919494628906,-2.202244281768799,0.02695673704147339
69000,69,11.0,1000,0.2592324912548065,-46.05503845214844,-1.9335609674453735,0.02701839618384838
70000,70,266.0,1000,0.2718682289123535,-44.13631057739258,-2.053471803665161,0.02662137895822525
71000,71,967.0,1000,0.28848105669021606,-47.00798797607422,-2.121598958969116,0.026507332921028137
72000,72,978.0,1000,0.25902485847473145,-49.24919891357422,-1.7695611715316772,0.026429541409015656
73000,73,0.0,1000,0.2524169981479645,-48.211036682128906,-1.9407830238342285,0.026378832757472992
74000,74,166.0,1000,0.2670779824256897,-48.55503845214844,-2.1058146953582764,0.026330193504691124
75000,75,956.0,1000,0.33176958560943604,-47.12519454956055,-1.8942917585372925,0.026324506849050522
76000,76,923.0,1000,0.3002322018146515,-48.1473388671875,-2.1595325469970703,0.026350924745202065
77000,77,943.0,1000,0.39146697521209717,-50.18464279174805,-2.1059911251068115,0.026954911649227142
78000,78,930.0,1000,0.2909431457519531,-50.404205322265625,-1.894661545753479,0.027218906208872795
79000,79,994.0,1000,0.23061928153038025,-53.81262969970703,-1.906571626663208,0.027583958581089973
80000,80,0.0,1000,0.42503252625465393,-50.94521713256836,-2.0897409915924072,0.027546130120754242
81000,81,0.0,1000,0.26754215359687805,-52.951499938964844,-1.816422700881958,0.027348870411515236
82000,82,0.0,1000,0.26109546422958374,-53.54167175292969,-2.135375499725342,0.02728676050901413
83000,83,972.0,1000,0.4402352571487427,-53.385372161865234,-2.0329110622406006,0.028112752363085747
84000,84,0.0,1000,0.26541975140571594,-56.03746795654297,-2.1720876693725586,0.028531454503536224
85000,85,970.0,1000,0.3303454518318176,-56.93058395385742,-1.8596075773239136,0.028333649039268494
86000,86,969.0,1000,0.3030661344528198,-56.05948257446289,-2.277536153793335,0.027830814942717552
87000,87,0.0,1000,0.3069988489151001,-55.97452163696289,-2.1267049312591553,0.02832341566681862
88000,88,974.0,1000,0.2733008861541748,-59.710472106933594,-1.7037830352783203,0.028678717091679573
89000,89,976.0,1000,0.297136515378952,-59.008140563964844,-2.000757932662964,0.028899891301989555
90000,90,0.0,1000,0.37699246406555176,-58.19845199584961,-1.993577241897583,0.028561946004629135
91000,91,963.0,1000,0.3077556788921356,-60.71820831298828,-2.1372594833374023,0.027925949543714523
92000,92,896.0,1000,0.3079751133918762,-59.657711029052734,-1.9734172821044922,0.02749362215399742
93000,93,994.0,1000,0.3069889545440674,-62.42691421508789,-2.0578105449676514,0.02699982561171055
94000,94,984.0,1000,0.33187752962112427,-61.055397033691406,-2.0313873291015625,0.02646036632359028
95000,95,993.0,1000,0.2739560902118683,-62.739627838134766,-2.05452561378479,0.026472002267837524
96000,96,858.0,1000,0.32911747694015503,-62.86180114746094,-1.7968612909317017,0.02597353421151638
97000,97,0.0,1000,0.31603145599365234,-61.934959411621094,-1.9721410274505615,0.025465773418545723
98000,98,11.0,1000,0.26166802644729614,-62.58635330200195,-2.139657974243164,0.0253976508975029
