step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
46742,1,-47662.0,46742,0.04363848268985748,58.80577087402344,-1.9380624294281006,0.004730003420263529
60351,2,-13869.0,13609,3.206454277038574,69.96597290039062,-1.9317247867584229,0.007462386041879654
115848,3,-56597.0,55497,3.1232385635375977,92.36231994628906,-1.9451487064361572,0.0070774611085653305
146814,4,-31566.0,30966,0.056954652070999146,96.84750366210938,-1.8195539712905884,0.006628498435020447
214336,5,-68862.0,67522,0.053837984800338745,99.72852325439453,-1.7756121158599854,0.005280770361423492
222383,6,-8207.0,8047,0.06964219361543655,100.3344955444336,-2.0299861431121826,0.005101351533085108
359479,7,-139836.0,137096,0.06109025701880455,100.18962097167969,-1.9633395671844482,0.009601665660738945
432707,8,-74688.0,73228,0.15376707911491394,100.38566589355469,-2.0361502170562744,0.005195618141442537
