step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-219.59744922816753,52.10507635039589,9.0,18.0,-1020.0,0.0,0.09999999403953552,9.43224573135376
10000,-152.14348810836674,72.09972140074558,23.0,46.0,-1020.0,0.0,0.09999999403953552,20.281047582626343
20000,-1058.830317184329,696.8174361514127,28.0,43.76756790135819,-1020.0,0.0,0.040031127631664276,216.46006298065186
30000,-150.24875569045543,453.7450038017108,158.2,313.4086150698477,-1020.0,0.0,0.016553983092308044,405.9762694835663
40000,-225.27387218549848,97.38137354934811,18.2,36.39999999999999,-817.4,405.2,0.007468345109373331,593.4522960186005
50000,-401.1303846716881,90.45041205899743,0.0,0.0,-893.8,252.39999999999998,0.004987781401723623,783.7736148834229
60000,-432.6635513871908,446.71333117258894,134.2,243.23519482180205,-875.8,288.4,0.0051783910021185875,974.71084856987
70000,-342.9070904672146,119.73805589784678,13.2,16.76186147180557,-1020.0,0.0,0.0074126748368144035,1170.0541105270386
80000,-291.36915765106676,241.55074010660917,99.4,126.37024966343938,-890.8,258.4,0.008287523873150349,1364.4459247589111
90000,-386.10301877260207,115.20507282951732,4.6,5.851495535331118,-1020.0,0.0,0.008077162317931652,1559.9710009098053
100000,-80.03014033064247,447.4191083226677,172.0,339.51789349016644,-1020.0,0.0,0.011012821458280087,1756.0833866596222
110000,-289.1527391396463,130.23674063426353,8.2,16.4,-1020.0,0.0,0.008761019445955753,1956.321207523346
120000,-268.4859361961484,53.57073569090063,0.0,0.0,-890.2,259.6,0.007623041979968548,2151.6627378463745
130000,-390.3308742828667,213.25456826032246,21.2,37.599999999999994,-1020.0,0.0,0.007686696480959654,2342.3927133083344
140000,-628.4636261738837,456.50245274347185,1.8,3.6000000000000005,-1020.0,0.0,0.007727098651230335,2536.35591506958
150000,-587.1702863499522,133.42856452105073,10.2,16.277591959500644,-1020.0,0.0,0.007246276363730431,2728.47456407547
160000,-385.0359430730343,118.59351490817322,1.8,3.6000000000000005,-1020.0,0.0,0.007143934722989798,2921.0229909420013
170000,-380.13572224006055,89.68293026267817,8.6,10.575443253121827,-1020.0,0.0,0.008119462057948112,3114.125693798065
180000,-340.0809595167637,97.02562749330856,3.0,4.0,-1020.0,0.0,0.007584532722830772,3306.00270152092
190000,-176.0486457489431,236.07493488023383,83.0,162.52261381112476,-1020.0,0.0,0.007146977353841066,3498.733597278595
200000,-285.26109511107205,78.51508718830452,10.2,16.69011683602005,-862.0,316.0,0.007246635854244232,3691.3242115974426
210000,-133.41623187065125,173.16761010259592,122.2,151.73450497497265,-1020.0,0.0,0.0064997244626283646,3886.0986585617065
220000,-262.51482486575844,84.72081688081099,41.4,30.473595127585455,-736.4,382.68765331533757,0.006305603310465813,4078.421149253845
230000,-356.85918639823797,285.99310061201516,26.8,47.368343859586226,-672.4,434.19884845540525,0.00610531447455287,4267.635349988937
240000,-640.1281658694148,394.12902857803664,0.6,1.2,-1020.0,0.0,0.006183612626045942,4462.822974443436
250000,-383.56774484068154,338.6901891057978,45.6,56.873895593672856,-1020.0,0.0,0.0058512696996331215,4656.11763882637
260000,-147.4869654469192,165.33832770223626,101.6,89.78552221822848,-1020.0,0.0,0.0071801552549004555,4850.58985710144
270000,-428.9354246914387,198.313289803136,1.2,2.4000000000000004,-1020.0,0.0,0.006497425027191639,5044.591958761215
280000,-461.7040154710412,232.2603849356094,10.0,18.536450577173614,-1020.0,0.0,0.006168039981275797,5240.81133890152
290000,166.31812254041432,519.0622807954488,363.0,385.6962535467515,-1020.0,0.0,0.007440331857651472,5433.890856027603
300000,-393.7104134395719,243.06920124062017,11.0,22.0,-982.4,75.2,0.006279292516410351,5632.316075563431
310000,-190.86087900102137,624.5199979161453,225.2,379.1661377285688,-747.4,334.42224806373156,0.005756907630711794,5829.026099920273
320000,-281.6690365560353,250.78455888984465,88.2,175.40171036794368,-900.0,240.0,0.005682926159352064,6028.628426790237
330000,-180.74853153452278,438.7066431968212,149.4,282.1074972417429,-1020.0,0.0,0.005747260991483927,6227.28734087944
340000,-283.9371582098305,244.20216772544507,49.0,47.76609676329017,-913.6,212.8,0.006023014895617962,6422.157572031021
350000,-324.17366935238243,314.0990395435425,39.0,58.535459338763204,-1020.0,0.0,0.005531160160899162,6622.905776977539
360000,-223.0443878673017,185.0875210238357,81.0,77.9717897704035,-909.4,221.20000000000002,0.005719449371099472,6819.186450719833
370000,-155.8559958614409,126.01157012702801,106.8,112.83155586980088,-1001.4,37.2,0.005344913806766272,7012.966288805008
380000,-120.11038470789791,63.539544504902985,5.6,11.2,-628.8,377.472330111758,0.005500571336597204,7203.321951389313
390000,-153.62258984595536,451.2699739197423,171.2,209.89082876581338,-812.8,288.50192373708705,0.006270773708820343,7393.303391456604
400000,132.950072593987,466.1089348958535,260.6,387.8781251888278,-982.4,75.2,0.006097235716879368,7582.275540590286
410000,-98.3505620263517,262.3692842418837,130.6,159.2590342806335,-1020.0,0.0,0.006626722402870655,7773.698995351791
420000,-148.7122296474874,102.0541655546358,35.4,65.43882639534422,-1020.0,0.0,0.006697975564748049,7964.677070617676
430000,28.887312522530557,508.19510515444193,285.6,361.1324410794466,-1020.0,0.0,0.006661893334239721,8153.20586848259
440000,-56.186308371275665,601.6607070919567,230.6,389.2369972137798,-1020.0,0.0,0.006229707505553961,8341.637695550919
450000,56.218764793127775,441.0269420708997,256.4,319.02952841390714,-1020.0,0.0,0.005684110336005688,8532.368843078613
460000,-114.63403989374638,271.8591997194951,90.2,180.40000000000003,-660.2,441.643476120728,0.006076361518353224,8723.132236003876
470000,-156.93925571143626,124.2755109890086,84.2,168.4,-1020.0,0.0,0.006250903010368347,8920.069306373596
480000,-253.1766597956419,527.8885228427664,154.4,305.80882917273664,-1020.0,0.0,0.005850901361554861,9121.026730537415
490000,-392.7516929477453,203.5606042356667,6.2,12.400000000000002,-1020.0,0.0,0.00625136774033308,9319.694438457489
500000,-172.93211162537335,575.9402857693708,204.8,381.26232439096316,-1020.0,0.0,0.006272690370678902,9521.366761446
