step,phase,return_mean,return_std,feedback_used,reward_loss,reward_acc,alpha,wall_time
10000,preference,38.4,74.8160410607244,50,2.3582473665475847,0.5265000000000001,0.05996174365282059,174.87271809577942
20000,preference,80.8,161.6,100,0.8649109923243522,0.532045138888889,0.027143247425556183,379.1544942855835
30000,preference,13.6,16.560193235587562,100,0.8649109923243522,0.532045138888889,0.01237084623426199,570.4711203575134
40000,preference,4.6,9.199999999999998,150,0.7007966892531624,0.5454379734848485,0.008266665041446686,780.424063205719
50000,preference,2.4,3.0066592756745814,150,0.7007966892531624,0.5454379734848485,0.004960713442414999,971.600989818573
60000,preference,87.2,140.29312171307615,200,0.761325271701873,0.5427035590277777,0.003378608264029026,1188.9732644557953
70000,preference,1.0,2.0,200,0.761325271701873,0.5427035590277777,0.0019396035932004452,1380.0665709972382
80000,preference,179.4,355.80758845196095,250,0.7168844716414614,0.5577108848713667,0.0012283662799745798,1608.6617393493652
90000,preference,32.4,27.10424321024293,250,0.7168844716414614,0.5577108848713667,0.0012534713605418801,1803.2450234889984
100000,preference,12.2,21.525798475317934,300,0.6808872346406454,0.5677530334249085,0.002658080542460084,2037.538379907608
110000,preference,30.2,36.74996598637882,300,0.6808872346406454,0.5677530334249085,0.001631577149964869,2229.352732181549
120000,preference,348.4,420.27828875639057,350,0.6969308738304243,0.561094246666314,0.0013406097423285246,2472.817218065262
130000,preference,19.0,34.6063577973759,350,0.6969308738304243,0.561094246666314,0.0013521426590159535,2666.0666387081146
140000,preference,31.2,30.12241690170296,400,0.6862760190675499,0.5830243826896786,0.0011990275233983994,2915.306067943573
150000,preference,101.0,129.7875186603088,400,0.6862760190675499,0.5830243826896786,0.0013008203823119402,3108.8042879104614
160000,preference,6.6,9.707728879609277,450,0.8921342809459812,0.5539163875174369,0.0017548863543197513,3367.7010593414307
170000,preference,0.0,0.0,450,0.8921342809459812,0.5539163875174369,0.0013742009177803993,3561.7916021347046
180000,preference,113.4,212.5968955558853,500,0.6718326829732014,0.5868450004412626,0.001183734042569995,3831.8608989715576
190000,preference,224.6,383.28454182239074,500,0.6718326829732014,0.5868450004412626,0.0011359392665326595,4028.802392721176
200000,preference,73.4,77.53089706691132,550,0.6734221624419867,0.5818973198048962,0.0010988775175064802,4309.597690105438
210000,preference,40.0,58.26491225428903,550,0.6734221624419867,0.5818973198048962,0.0010541243245825171,4505.526232004166
220000,preference,230.8,343.99616276929606,600,0.6887870162204728,0.5797668269230769,0.0011423701653257012,4789.429107427597
230000,preference,45.4,24.90461804565571,600,0.6887870162204728,0.5797668269230769,0.0012946397764608264,4984.569383859634
240000,preference,8.4,16.304600577751053,650,0.6778219839919652,0.5813002233714272,0.0013071513967588544,5278.442873239517
250000,preference,10.0,20.0,650,0.6778219839919652,0.5813002233714272,0.0009649638086557388,5477.335026264191
260000,preference,44.6,63.23163765078365,700,0.6701764231591434,0.5796252052545156,0.001044358708895743,5786.805203676224
270000,preference,183.8,360.64076308703653,700,0.6701764231591434,0.5796252052545156,0.0013257559621706605,5991.8483629226685
280000,preference,15.6,18.18350901228913,750,0.6781199942846603,0.5761180541325136,0.001199320307932794,6301.106292247772
290000,preference,182.6,353.2226493304188,750,0.6781199942846603,0.5761180541325136,0.00109314383007586,6496.750370502472
300000,preference,1.2,2.4,800,0.6691732637613281,0.5847960650083611,0.0011255257995799184,6808.929347515106
