step,phase,return_mean,return_std,feedback_used,reward_loss,reward_acc,alpha,wall_time
10000,preference,-1684.639427280426,420.28468119697277,50,1.452700687199831,0.737,0.0579201877117157,194.29070353507996
20000,preference,-1522.0854264259337,339.2434718125738,100,0.7577639635503292,0.7310260416666667,0.03800670802593231,418.7614538669586
30000,preference,-1141.8945682406425,159.3316050211091,100,0.7577639635503292,0.7310260416666667,0.02038929983973503,640.8040578365326
40000,preference,-1350.0367988586427,159.33607758631086,150,1.2327991815821993,0.6588896254208754,0.012696288526058197,884.1555571556091
50000,preference,-1684.8137221962213,190.7390350128083,150,1.2327991815821993,0.6588896254208754,0.01011096965521574,1101.907901763916
60000,preference,-219.97000694721936,622.5484315623204,200,0.7024582873262991,0.6562992818813131,0.007663654163479805,1344.9890522956848
70000,preference,-515.409958294779,512.7722191970427,200,0.7024582873262991,0.6562992818813131,0.005865849554538727,1560.1538801193237
80000,preference,-760.870670312643,631.9976796414207,250,0.47949009687600264,0.7389603858141617,0.005976397078484297,1802.056855916977
90000,preference,-222.02315824851394,99.34408932821775,250,0.47949009687600264,0.7389603858141617,0.004693200811743736,1989.0714673995972
100000,preference,-557.1385359629988,680.1773793529836,300,0.5023450025163673,0.7323387133699634,0.005016107112169266,2221.2803723812103
110000,preference,-200.48001292645932,46.605121504547455,300,0.5023450025163673,0.7323387133699634,0.005564396735280752,2410.9783070087433
120000,preference,-245.60319905355573,82.97312115581838,350,0.4822759684411658,0.7653606473755339,0.004764185752719641,2652.1213505268097
130000,preference,-244.9162897080183,65.05446245513109,350,0.4822759684411658,0.7653606473755339,0.00459111575037241,2845.4965176582336
140000,preference,-278.26913603544233,109.18003422166339,400,0.5391663451011783,0.7722215268284348,0.004665577318519354,3094.950839281082
150000,preference,-285.17231806218626,91.80692007677114,400,0.5391663451011783,0.7722215268284348,0.004202013835310936,3289.6718525886536
160000,preference,-290.2983488589525,68.06467257171924,450,0.6051992019061256,0.76364884690423,0.0040602656081318855,3549.839870929718
170000,preference,-273.14205923974515,56.49526326706521,450,0.6051992019061256,0.76364884690423,0.003766321577131748,3753.3363354206085
180000,preference,-224.06079699397088,96.64828916251108,500,0.4318223460894763,0.8064459351107246,0.00366845540702343,4031.8986189365387
190000,preference,-309.1006309658289,37.84355281053914,500,0.4318223460894763,0.8064459351107246,0.004804540425539017,4234.400457859039
200000,preference,-284.45823880136015,95.59066656392315,550,0.4472149060870302,0.8052744429893991,0.00497583020478487,4514.804768562317
210000,preference,-234.80968410521746,83.19357584669694,550,0.4472149060870302,0.8052744429893991,0.005220760591328144,4710.754372835159
220000,preference,-310.2019183665514,29.952739366956862,600,0.42806499522231223,0.8158909684065934,0.005200888030230999,4994.825598955154
230000,preference,-290.222631688416,58.17421809764386,600,0.42806499522231223,0.8158909684065934,0.0054397499188780785,5189.925117969513
240000,preference,-265.29467917084696,99.57090598334905,650,0.42908920528638816,0.8103285004634626,0.005133270751684904,5480.373799562454
250000,preference,-322.9484994634986,65.86729723376322,650,0.42908920528638816,0.8103285004634626,0.005869458895176649,5676.73548412323
260000,preference,-237.11970454752446,35.431862327015736,700,0.39060082199423063,0.8281251422786984,0.006064293906092644,5973.786183834076
270000,preference,-144.35395890027286,32.904888334248994,700,0.39060082199423063,0.8281251422786984,0.006566714961081743,6169.794566631317
280000,preference,-220.0217035032809,71.65813926513547,750,0.38800758004576136,0.834482313012295,0.006607973016798496,6475.078546524048
290000,preference,-201.96545251905917,59.555854244198585,750,0.38800758004576136,0.834482313012295,0.006883725523948669,6668.672564268112
300000,preference,-239.68535261899234,93.60220494942475,800,0.3594469121675336,0.8451651991011706,0.006612272467464209,6986.239932060242
