step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
1000,1,-780.8434849157929,1000,,,,
2000,2,-1033.7750760763884,1000,,,,
3000,3,-865.3062975257635,1000,,,,
4000,4,-928.0037192851305,1000,,,,
5000,5,-711.6437037810683,1000,,,,
6000,6,-977.8956800848246,1000,,,,
7000,7,-897.8865296840668,1000,,,,
8000,8,-536.8688626624644,1000,,,,
9000,9,-973.2394474446774,1000,,,,
10000,10,-974.4052674174309,1000,,,,
11000,11,-384.58956387639046,1000,0.10484397411346436,1.268266201019287,-0.754776656627655,0.09272441267967224
12000,12,-436.537283629179,1000,0.13444529473781586,1.851522445678711,-0.6602186560630798,0.08620842546224594
13000,13,-278.7521299570799,1000,0.10021218657493591,2.4591665267944336,-0.6360944509506226,0.07907049357891083
14000,14,-176.57808396220207,1000,0.10242366790771484,2.893299102783203,-0.699816882610321,0.07258542627096176
15000,15,-320.34749387204647,1000,0.040743015706539154,3.891589641571045,-0.7762004137039185,0.06665647774934769
16000,16,-245.17676167562604,1000,0.044064752757549286,4.465316295623779,-0.8062886595726013,0.06115221232175827
17000,17,-196.1123394407332,1000,0.04487833380699158,4.924923896789551,-0.9357017278671265,0.056091077625751495
18000,18,-267.02211927622557,1000,0.02715086191892624,5.42104434967041,-1.0560503005981445,0.05144780874252319
19000,19,-306.7711506411433,1000,0.07263584434986115,4.512147426605225,-0.8987832069396973,0.047194112092256546
20000,20,-412.1566315740347,1000,0.046404674649238586,5.69659423828125,-1.0444552898406982,0.04326055943965912
21000,21,-255.63330898433924,1000,0.0884576067328453,5.633573055267334,-1.2069900035858154,0.03984924778342247
22000,22,-348.17503386735916,1000,0.07708209753036499,5.522730827331543,-1.3411195278167725,0.03697418048977852
23000,23,-237.83170926570892,1000,0.041535601019859314,6.492995738983154,-1.5638158321380615,0.03440080210566521
24000,24,-483.4900668337941,1000,0.07252409309148788,7.953941822052002,-1.4545540809631348,0.03189010173082352
25000,25,-208.5873612910509,1000,0.06989700347185135,7.186691761016846,-1.6034537553787231,0.029564721509814262
26000,26,-939.8370386362076,1000,0.14173288643360138,6.119089126586914,-1.543375015258789,0.027316579595208168
27000,27,-158.78746388852596,1000,0.06809142231941223,8.372462272644043,-1.6346021890640259,0.025454312562942505
28000,28,14.920860797166824,1000,0.06269396841526031,7.525359630584717,-1.8079650402069092,0.02392944134771824
29000,29,-274.4766002446413,1000,0.10136598348617554,6.730412006378174,-1.849839210510254,0.022599628195166588
30000,30,-245.09347996115685,1000,0.1281077116727829,4.309553623199463,-1.864091157913208,0.021466542035341263
31000,31,-159.76599832251668,1000,0.14994604885578156,5.00283670425415,-1.9684863090515137,0.02062341757118702
32000,32,-136.66218405216932,1000,0.09718476980924606,3.853203296661377,-1.9385534524917603,0.02024402841925621
33000,33,-242.5448282957077,1000,0.10762898623943329,2.921304702758789,-2.0352156162261963,0.021061943843960762
34000,34,-163.51830769330263,1000,0.07991145551204681,5.496140956878662,-1.9849345684051514,0.021589556708931923
35000,35,-227.1798935085535,1000,0.08562265336513519,5.215094089508057,-1.9156062602996826,0.02216777391731739
36000,36,-268.6407234966755,1000,0.2045629471540451,8.427873611450195,-2.0025603771209717,0.022574516013264656
37000,37,954.5958966612816,1000,0.10269542783498764,5.056784629821777,-1.9411821365356445,0.022633178159594536
38000,38,-127.00038135796785,1000,0.12517023086547852,4.52424430847168,-2.0915753841400146,0.02271942049264908
39000,39,-206.65198196843266,1000,0.12011710554361343,5.605188369750977,-2.024521827697754,0.0225385595113039
40000,40,-278.09744638204575,1000,0.12136082351207733,4.460857391357422,-2.0065841674804688,0.022210847586393356
