Episode 220, Reward: -156.0, Epsilon: 0.050
Episode 230, Reward: -218.0, Epsilon: 0.050
Episode 240, Reward: -182.0, Epsilon: 0.050
Episode 250, Reward: -180.0, Epsilon: 0.050
Episode 260, Reward: -216.0, Epsilon: 0.050
Episode 270, Reward: -258.0, Epsilon: 0.050
Episode 280, Reward: -191.0, Epsilon: 0.050
Episode 290, Reward: -127.0, Epsilon: 0.050
Episode 300, Reward: -203.0, Epsilon: 0.050
Episode 310, Reward: -376.0, Epsilon: 0.050
Episode 320, Reward: -210.0, Epsilon: 0.050
Episode 330, Reward: -273.0, Epsilon: 0.050
Episode 340, Reward: -179.0, Epsilon: 0.050
Episode 350, Reward: -185.0, Epsilon: 0.050
Episode 360, Reward: -119.0, Epsilon: 0.050
Episode 370, Reward: -209.0, Epsilon: 0.050
Episode 380, Reward: -176.0, Epsilon: 0.050
Episode 390, Reward: -160.0, Epsilon: 0.050
Episode 400, Reward: -169.0, Epsilon: 0.050
Episode 410, Reward: -198.0, Epsilon: 0.050
Episode 420, Reward: -156.0, Epsilon: 0.050
Episode 430, Reward: -139.0, Epsilon: 0.050
Episode 440, Reward: -150.0, Epsilon: 0.050
Episode 450, Reward: -93.0, Epsilon: 0.050
Episode 460, Reward: -138.0, Epsilon: 0.050
Episode 470, Reward: -130.0, Epsilon: 0.050
Episode 480, Reward: -161.0, Epsilon: 0.050
Episode 490, Reward: -97.0, Epsilon: 0.050
Episode 500, Reward: -135.0, Epsilon: 0.050
Episode 510, Reward: -179.0, Epsilon: 0.050
Episode 520, Reward: -153.0, Epsilon: 0.050
Episode 530, Reward: -153.0, Epsilon: 0.050
Episode 540, Reward: -152.0, Epsilon: 0.050
Episode 550, Reward: -168.0, Epsilon: 0.050
Episode 560, Reward: -181.0, Epsilon: 0.050
Episode 570, Reward: -173.0, Epsilon: 0.050
Episode 580, Reward: -193.0, Epsilon: 0.050
Episode 590, Reward: -454.0, Epsilon: 0.050
Episode 600, Reward: -184.0, Epsilon: 0.050
Episode 610, Reward: -480.0, Epsilon: 0.050
Episode 620, Reward: -162.0, Epsilon: 0.050
Episode 630, Reward: -162.0, Epsilon: 0.050
Episode 640, Reward: -87.0, Epsilon: 0.050
Episode 650, Reward: -209.0, Epsilon: 0.050
Episode 660, Reward: -103.0, Epsilon: 0.050
Episode 670, Reward: -155.0, Epsilon: 0.050
Episode 680, Reward: -89.0, Epsilon: 0.050
Episode 690, Reward: -93.0, Epsilon: 0.050
Episode 700, Reward: -179.0, Epsilon: 0.050
Episode 710, Reward: -125.0, Epsilon: 0.050
Episode 720, Reward: -158.0, Epsilon: 0.050
Episode 730, Reward: -102.0, Epsilon: 0.050
Episode 740, Reward: -113.0, Epsilon: 0.050
Episode 750, Reward: -96.0, Epsilon: 0.050
Episode 760, Reward: -157.0, Epsilon: 0.050
Episode 770, Reward: -97.0, Epsilon: 0.050
Episode 780, Reward: -174.0, Epsilon: 0.050
Episode 790, Reward: -104.0, Epsilon: 0.050
Episode 800, Reward: -147.0, Epsilon: 0.050
Episode 810, Reward: -99.0, Epsilon: 0.050
Episode 820, Reward: -94.0, Epsilon: 0.050
Episode 830, Reward: -94.0, Epsilon: 0.050
Episode 840, Reward: -149.0, Epsilon: 0.050
Episode 850, Reward: -159.0, Epsilon: 0.050
Episode 860, Reward: -205.0, Epsilon: 0.050
Episode 870, Reward: -97.0, Epsilon: 0.050
Episode 880, Reward: -160.0, Epsilon: 0.050
Episode 890, Reward: -165.0, Epsilon: 0.050
Episode 900, Reward: -101.0, Epsilon: 0.050
Episode 910, Reward: -166.0, Epsilon: 0.050
Episode 920, Reward: -126.0, Epsilon: 0.050
Episode 930, Reward: -99.0, Epsilon: 0.050
Episode 940, Reward: -92.0, Epsilon: 0.050
Episode 950, Reward: -93.0, Epsilon: 0.050
Episode 960, Reward: -205.0, Epsilon: 0.050
Episode 970, Reward: -87.0, Epsilon: 0.050
Episode 980, Reward: -119.0, Epsilon: 0.050
Episode 990, Reward: -108.0, Epsilon: 0.050
Episode 0, Reward: -2000.0, Epsilon: 0.981
Episode 10, Reward: -2000.0, Epsilon: 0.791
Episode 20, Reward: -703.0, Epsilon: 0.638
