step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
10000,-231.14614105671643,72.99233540369866,0.0,0.0,-1000.0,0.0,0.10000000149011612,36.311909198760986
20000,-172.3510079998523,422.90054690011067,109.3,287.08223560506144,-905.4,283.8,0.043124012649059296,241.06939578056335
30000,4.422587325796485,675.4742717556237,296.9,451.1519588786022,-808.0,384.0002604165784,0.023172808811068535,444.80674982070923
40000,131.90609119795263,757.2014342904055,410.1,473.1138235139616,-627.0,456.91443400269156,0.02386019565165043,646.8284826278687
50000,96.59230317473411,890.8729579224791,489.6,482.9963146857334,-593.2,436.6249649298583,0.026791833341121674,848.6357789039612
60000,-19.302157654985784,976.6780564992534,396.8,482.33635566894606,-717.2,432.23738847998794,0.03475174680352211,1051.1585400104523
70000,16.829654853791,681.5070853323758,296.1,449.94920824466396,-722.5,424.42461050226575,0.02858312427997589,1254.014569759369
80000,834.8489742957056,303.4718438639703,878.5,280.6664390339536,-399.0,406.2211220505404,0.02888258919119835,1453.3208012580872
90000,933.9210254564881,34.114683520835676,971.7,13.57976435730753,-349.8,426.4569849351749,0.02506168931722641,1651.498211145401
100000,937.8490911483765,48.97515266644132,973.7,18.836400930114014,-358.1,420.771541338052,0.025787219405174255,1850.126722574234
110000,613.173003603518,513.5163407038364,687.1,442.1631938549386,-345.6,429.01263384660365,0.02189100719988346,2048.9196202754974
120000,331.1847826074809,613.7290017234307,500.3,465.8405413872863,-541.4,458.96866995471487,0.020057223737239838,2247.525635957718
130000,921.4339109517634,53.19887078827893,964.1,21.500930212434994,-261.2,369.71686464103846,0.0186175350099802,2441.2211384773254
140000,850.9409128867089,320.50054710559334,880.8,293.71544052024234,-338.9,433.0245835977445,0.016517601907253265,2636.342761039734
150000,543.7765725165606,774.6982223968226,770.1,382.8920082738735,-265.1,372.27743686664655,0.016282618045806885,2832.0091631412506
160000,713.9770856499672,450.75775819646225,788.5,364.40314213793494,-252.5,374.2149783212853,0.015639692544937134,3027.173619747162
170000,635.4954895749688,463.541696801679,737.3,382.93682246553414,-447.9,452.9899447007627,0.016026044264435768,3223.3467915058136
180000,506.9791758775711,743.8173298250479,684.6,443.0614404346196,-344.9,429.3041928516422,0.014318021014332771,3418.14976811409
190000,834.8240576766432,313.9979837228382,876.8,287.43409679437826,-154.5,282.1617443949481,0.013109973631799221,3610.9841063022614
200000,952.5272591978312,29.514609226476846,982.1,10.64377752492037,-161.2,283.5936529614159,0.01332854013890028,3803.5154235363007
210000,726.1066679354757,406.14481445822764,773.1,386.7612829640526,-344.3,429.4519880033157,0.012413280084729195,3999.367662191391
220000,809.8535965412855,403.55301257494546,879.1,290.7973349258896,-263.2,372.3194327455928,0.011649719439446926,4193.055917739868
230000,944.2099039614201,48.41585700265596,977.6,19.59183503401353,-438.6,458.55930914114043,0.011109892278909683,4388.89061331749
240000,850.497539633885,305.959659629393,883.6,291.43582483970636,-165.5,278.6949048691059,0.011261974461376667,4581.893723487854
250000,736.3396566234529,434.3088839126786,786.4,391.0299732757068,-349.6,426.81194922354274,0.010980280116200447,4777.330709934235
260000,925.6355378136038,50.49968877687418,967.8,24.003333101883996,-248.5,376.26141178707127,0.01148464996367693,4971.11012673378
270000,959.8859723061323,25.241432475891784,981.6,12.595237195067032,-146.1,285.05103051909845,0.011411179788410664,5164.277811050415
280000,970.5140890087932,20.043072148259952,987.4,9.046546302318912,-156.1,285.3427588007097,0.010460363700985909,5357.56138086319
290000,962.9434240013361,34.8754441687918,984.4,12.690153663372245,-337.7,434.1359349328272,0.010478675365447998,5552.578209400177
300000,858.7437663275748,308.63632062234257,885.8,293.38125366151127,-340.1,432.6290443324396,0.010508999228477478,5749.231653690338
